id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
660862693853730327,Cozy 2-Bedroom home with Patio,92975825,Pano,Ballard,Whittier Heights,47.68765175465279,-122.3683063,Entire home/apt,185,30,4,8/14/2022,0.13,1,364,0,Exempt
661485428567690317,Seattle Townhome: Rooftop Deck < 7 Mi to Dtwn,121688409,Evolve,Northgate,North College Park,47.69357,-122.34275,Entire home/apt,135,2,17,10/15/2023,0.57,32,77,0,STR-OPLI-22-000783
661487911700951210,The Dearborn Loft House,64929,Kate,Central Area,Atlantic,47.59532,-122.30696,Entire home/apt,337,3,77,11/2/2024,2.59,1,67,29,STR-OPLI-22-001141
661505011462430495,Spacious Top Floor View Suite with A/C,33617958,Heather,Cascade,South Lake Union,47.63445,-122.32353,Private room,184,30,25,10/22/2023,0.85,1,364,0,STR-OPLI-22-001156
661573305553173387,Beach fun and great walks,137414994,Patrick,West Seattle,North Admiral,47.59001,-122.38757,Entire home/apt,165,30,72,9/2/2024,2.44,1,89,33,STR-OPLI-22-000919
661650150862901743,Seattle UW area private room queen bed,275126297,Charlie,Other neighborhoods,Bryant,47.6723,-122.28837,Private room,49,1,44,11/16/2024,1.48,7,361,19,STR-OPLI-22-000874
662295973097435434,Modern townhouse near light rail,38697694,Nicholas,Rainier Valley,Columbia City,47.5563159,-122.2897638,Entire home/apt,239,2,2,4/23/2023,0.07,4,163,0,STR-OPLI-21-001214
662340731814849570,Stunning Modern Craftsman,48877086,Maria,Other neighborhoods,Phinney Ridge,47.67258931913918,-122.3524499,Entire home/apt,338,2,5,10/13/2024,0.32,1,178,3,STR-OPLI-24-000643
662433506662696392,Cheerful 4 bedroom home with hot tub in Leschi,3069233,Jessie & Damon,Central Area,Leschi,47.60719,-122.29382,Entire home/apt,,30,0,,,1,24,0,
662999988954694947,The Hemy: design-lovers hideout,2383577,Joanna,West Seattle,Arbor Heights,47.50801299,-122.3733984,Entire home/apt,165,2,19,11/19/2024,1.08,1,179,11,STR-OPLI-23-000876
663268462982128794,Cute Tiny House,37052599,Laurel,Rainier Valley,Mount Baker,47.57563766,-122.2896592,Entire home/apt,80,30,96,11/24/2024,3.2,1,78,32,str-opli-20-000992
663288054559138754,Sunset views with private terrace on Queen Anne,467523634,Sydney,Queen Anne,North Queen Anne,47.64215,-122.37434,Entire home/apt,232,2,97,12/1/2024,3.4,1,348,29,STR-OPLI-22-001226
663322703085315665,Private room in Ballard Seattle with parking,62036146,Abe,Ballard,West Woodland,47.67321,-122.36219,Private room,,1,56,12/7/2024,1.95,1,0,34,STR-OPLI-22-001278
664020125495016557,Baker Haven: NinerNiner,54410852,Amy,Central Area,Leschi,47.6002,-122.29721,Private room,47,30,2,8/13/2024,0.07,5,303,1,
664026009166319713,NE Daylight Suite,54410852,Amy,Central Area,Leschi,47.60052,-122.29523,Private room,115,30,1,9/3/2022,0.04,5,362,0,
664101892624013968,Beautiful Home in the Heart of Seattle!,80333752,Ashley And Mike,Downtown,Belltown,47.61558,-122.34831,Entire home/apt,160,2,90,11/23/2024,3.13,39,340,24,STR-OPLI-19-001535
664143579652127292,"Separate, 1-Bedroom Suite, 10min from Downtown",29666316,Mish,Central Area,Atlantic,47.59590196841203,-122.3094953,Entire home/apt,99,2,82,12/14/2024,2.78,17,297,26,STR-OPLI-22-001112
664424046560933352,Peekaboo Lake View from 1 bedroom retreat.,433760772,Michael,Rainier Valley,Rainier Beach,47.51135811401112,-122.2526675,Entire home/apt,83,2,2,12/9/2024,2,1,78,2,STR-OPLI-22-001663
664498688695712853,2-bedroom Craftsman home in Fremont,467832955,Cj,Other neighborhoods,Fremont,47.6554,-122.35065,Entire home/apt,278,4,26,4/6/2024,0.92,1,125,1,STR-OPLI-22-001377
664692681829332904,Bright Belltown condo - walk to all attractions!,12649997,Amy,Downtown,Belltown,47.61578,-122.34246,Entire home/apt,69,2,113,12/1/2024,3.85,2,261,44,STR-OPLI-22-001323
665312997207537552,Your favorite Phinney flat,41732692,Desla,Other neighborhoods,Fremont,47.66306,-122.35361,Entire home/apt,135,3,23,10/27/2024,0.78,1,110,8,STR-OPLI-22-001132
666514315097528611,New! Urban Condo + Parking 2 Blocks to Ballard,377129678,Karen,Ballard,Adams,47.67106,-122.38951,Entire home/apt,105,2,47,11/30/2024,1.58,9,342,15,STR-OPLI-22-000836
666601002460220121,Stylish 2 Bedroom Home in the Heart of Seattle!,386420269,Kathryn And Mike,Downtown,Belltown,47.61557,-122.349,Entire home/apt,149,2,107,12/7/2024,3.59,27,356,47,STR-OPLI-22-001254
666720388400046176,Cozy private room near to light rail train,148119462,Michelle,Rainier Valley,Dunlap,47.52805,-122.27782,Private room,55,2,132,11/22/2024,4.52,5,327,52,STR-OPLI-22-000703
666844580546413675,3 Bedroom Townhouse Downtown w/Private Backyard,92742089,Crystal,Central Area,Minor,47.61406,-122.31045,Entire home/apt,225,1,98,12/15/2024,3.68,11,179,48,STR-OPLI-22-001586
666844845041855056,Charming Studio in Columbia City Seattle,15226970,Anastassia,Rainier Valley,Columbia City,47.5563,-122.28987,Entire home/apt,90,2,45,11/24/2024,2.79,3,160,34,STR-OPLI-23-001079
666978579822219233,"Capitol Hill House Spacious, cheerful, sun-filled",29666316,Mish,Capitol Hill,Stevens,47.62879,-122.299,Entire home/apt,195,3,37,11/30/2024,1.26,17,212,6,STR-OPLI-24-000832
667132352349746641,Cheerful 3 BR townhome | rooftop view,104033972,Quynh-Anh,West Seattle,Seaview,47.55332,-122.38881,Entire home/apt,165,1,14,11/29/2024,0.96,1,150,11,STR-OPLI-23-000191
667305022469706921,Adorable 2 BR Apartment near Alki Beach!,466747903,Todd,West Seattle,North Admiral,47.57552,-122.38879,Entire home/apt,167,30,37,6/27/2023,1.26,1,364,0,STR-OPLI-21-001301
667543447123625021,Stylish Urban Retreat w/ Rooftop Deck,28420265,Sherry,Central Area,Atlantic,47.59479,-122.30222,Entire home/apt,317,2,33,11/25/2024,1.11,40,343,6,STR-OPLI-22-000623
668128157195470015,Seward Park Bungalow,10111811,Chelsea,Seward Park,Seward Park,47.56334,-122.27,Entire home/apt,210,2,64,10/26/2024,2.19,1,262,21,STR-OPLI-22-001243
668334763366107772,Ashworth Abode - spacious 2 bedroom garden unit,24130536,Dominic,Northgate,Haller Lake,47.70631,-122.33962,Entire home/apt,115,3,45,11/26/2024,1.6,1,216,17,STR-OPLI-22-001166
668697732910698525,Mid-Century inspired comfy home,3458150,Curtis,West Seattle,Gatewood,47.53821,-122.38683,Private room,125,30,0,,,2,179,0,STR-OPLI-23-001197
668892862241295631,Awesome room greenlake park Shared home Seattle UW,28379912,Daniel James Rogers,Other neighborhoods,Green Lake,47.67559,-122.32646,Private room,59,30,6,9/1/2024,0.21,20,170,2,
